"","country","year","sex","suicides_no","population","gdp_for_year....","age"
"1","Armenia",1990,"female",0,316900,"2,256,838,858",9.5
"2","Armenia",1990,"male",0,333600,"2,256,838,858",9.5
"3","Armenia",1990,"female",3,258500,"2,256,838,858",19.5
"4","Armenia",1990,"male",10,272500,"2,256,838,858",19.5
"5","Armenia",1990,"female",4,320700,"2,256,838,858",29.5
"6","Armenia",1990,"male",16,307100,"2,256,838,858",29.5
"7","Armenia",1990,"female",15,358000,"2,256,838,858",44.5
"8","Armenia",1990,"male",25,332700,"2,256,838,858",44.5
"9","Armenia",1990,"female",6,224100,"2,256,838,858",64.5
"10","Armenia",1990,"male",11,183800,"2,256,838,858",64.5
"11","Armenia",1990,"female",1,48900,"2,256,838,858",80
"12","Armenia",1990,"male",2,26900,"2,256,838,858",80
"13","Armenia",1991,"female",0,349500,"2,068,526,522",9.5
"14","Armenia",1991,"male",0,366200,"2,068,526,522",9.5
"15","Armenia",1991,"female",0,286400,"2,068,526,522",19.5
"16","Armenia",1991,"male",6,295300,"2,068,526,522",19.5
"17","Armenia",1991,"female",4,342100,"2,068,526,522",29.5
"18","Armenia",1991,"male",20,313800,"2,068,526,522",29.5
"19","Armenia",1991,"female",9,396300,"2,068,526,522",44.5
"20","Armenia",1991,"male",14,348500,"2,068,526,522",44.5
"21","Armenia",1991,"female",11,247900,"2,068,526,522",64.5
"22","Armenia",1991,"male",9,203100,"2,068,526,522",64.5
"23","Armenia",1991,"female",2,52900,"2,068,526,522",80
"24","Armenia",1991,"male",5,28800,"2,068,526,522",80
"25","Armenia",1992,"female",0,358200,"1,272,577,456",9.5
"26","Armenia",1992,"male",0,375300,"1,272,577,456",9.5
"27","Armenia",1992,"female",1,290100,"1,272,577,456",19.5
"28","Armenia",1992,"male",9,300300,"1,272,577,456",19.5
"29","Armenia",1992,"female",0,340900,"1,272,577,456",29.5
"30","Armenia",1992,"male",15,312600,"1,272,577,456",29.5
"31","Armenia",1992,"female",6,410800,"1,272,577,456",44.5
"32","Armenia",1992,"male",22,360400,"1,272,577,456",44.5
"33","Armenia",1992,"female",10,263400,"1,272,577,456",64.5
"34","Armenia",1992,"male",15,215100,"1,272,577,456",64.5
"35","Armenia",1992,"female",2,53400,"1,272,577,456",80
"36","Armenia",1992,"male",3,28200,"1,272,577,456",80
"37","Armenia",1993,"female",0,364200,"1,201,313,201",9.5
"38","Armenia",1993,"male",0,382300,"1,201,313,201",9.5
"39","Armenia",1993,"female",3,293900,"1,201,313,201",19.5
"40","Armenia",1993,"male",7,304800,"1,201,313,201",19.5
"41","Armenia",1993,"female",6,335900,"1,201,313,201",29.5
"42","Armenia",1993,"male",17,305600,"1,201,313,201",29.5
"43","Armenia",1993,"female",6,424000,"1,201,313,201",44.5
"44","Armenia",1993,"male",25,371900,"1,201,313,201",44.5
"45","Armenia",1993,"female",14,276100,"1,201,313,201",64.5
"46","Armenia",1993,"male",20,226400,"1,201,313,201",64.5
"47","Armenia",1993,"female",6,53100,"1,201,313,201",80
"48","Armenia",1993,"male",2,28400,"1,201,313,201",80
"49","Armenia",1994,"female",1,367000,"1,315,158,670",9.5
"50","Armenia",1994,"male",2,385400,"1,315,158,670",9.5
"51","Armenia",1994,"female",4,297600,"1,315,158,670",19.5
"52","Armenia",1994,"male",6,308300,"1,315,158,670",19.5
