country,year,sex,suicides_no,population,suicides/100k pop, gdp_for_year ($) ,gdp_per_capita ($),generation,age_lb,age_ub
,,,,,,,,,,
Russian Federation,1989,male,1393,1349100,103.25,"506,500,173,960",3740,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1989,male,12030,18058500,66.62,"506,500,173,960",3740,Silent,35,54
,,,,,,,,,,
Russian Federation,1989,male,6250,9383700,66.6,"506,500,173,960",3740,G.I. Generation,55,74
,,,,,,,,,,
Russian Federation,1989,male,6856,12748800,53.78,"506,500,173,960",3740,Boomers,25,34
,,,,,,,,,,
Russian Federation,1989,female,1677,4738100,35.39,"506,500,173,960",3740,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1989,male,2581,10073900,25.62,"506,500,173,960",3740,Generation X,15,24
,,,,,,,,,,
Russian Federation,1989,female,3042,15522500,19.6,"506,500,173,960",3740,G.I. Generation,55,74
,,,,,,,,,,
Russian Federation,1989,female,2326,19316700,12.04,"506,500,173,960",3740,Silent,35,54
,,,,,,,,,,
Russian Federation,1989,female,827,12470000,6.63,"506,500,173,960",3740,Boomers,25,34
,,,,,,,,,,
Russian Federation,1989,female,628,9650700,6.51,"506,500,173,960",3740,Generation X,15,24
,,,,,,,,,,
Russian Federation,1989,male,263,11233200,2.34,"506,500,173,960",3740,Generation X,5,14
,,,,,,,,,,
Russian Federation,1989,female,48,10898600,0.44,"506,500,173,960",3740,Generation X,5,14
,,,,,,,,,,
Russian Federation,1990,male,1366,1382500,98.81,"516,814,274,022",3789,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1990,male,12517,18495100,67.68,"516,814,274,022",3789,Silent,35,54
,,,,,,,,,,
Russian Federation,1990,male,6401,9577500,66.83,"516,814,274,022",3789,G.I. Generation,55,74
,,,,,,,,,,
Russian Federation,1990,male,6868,12477900,55.04,"516,814,274,022",3789,Boomers,25,34
,,,,,,,,,,
Russian Federation,1990,female,1608,4847400,33.17,"516,814,274,022",3789,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1990,male,2874,10059700,28.57,"516,814,274,022",3789,Generation X,15,24
,,,,,,,,,,
Russian Federation,1990,female,3064,15534000,19.72,"516,814,274,022",3789,G.I. Generation,55,74
,,,,,,,,,,
Russian Federation,1990,female,2467,19730400,12.5,"516,814,274,022",3789,Silent,35,54
,,,,,,,,,,
Russian Federation,1990,female,910,12197600,7.46,"516,814,274,022",3789,Boomers,25,34
,,,,,,,,,,
Russian Federation,1990,female,641,9649700,6.64,"516,814,274,022",3789,Generation X,15,24
,,,,,,,,,,
Russian Federation,1990,male,260,11397000,2.28,"516,814,274,022",3789,Generation X,5,14
,,,,,,,,,,
Russian Federation,1990,female,52,11049400,0.47,"516,814,274,022",3789,Generation X,5,14
,,,,,,,,,,
Russian Federation,1991,male,1326,1371000,96.72,"517,962,962,963",3773,G.I. Generation,75,120
,,,,,,,,,,
Russian Federation,1991,male,12746,18782900,67.86,"517,962,962,963",3773,Boomers,35,54
,,,,,,,,,,
Russian Federation,1991,male,6566,9894400,66.36,"517,962,962,963",3773,Silent,55,74
,,,,,,,,,,
Russian Federation,1991,male,6901,12157500,56.76,"517,962,962,963",3773,Boomers,25,34
,,,,,,,,,,
